"項目","単位","1980_","1981_","1982_","1983_","1984_59","1985_","1986_","1987_","1988_","1989_1","1990_","1991_","1992_","1993_","1994_6","1995_","1996_","1997_","1998_","1999_11","2000_","2001_","2002_","2003_","2004_16","2005_","2006_","2007_","2008_","2009_","有効数字(少数桁)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_集計世帯数","","","","","","659.0","","","","","719.0","","","","","718.0","","","","","714.0","","","","","686.0","","","","","712.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯数分布(抽出率調整)","","","","","","7820.0","","","","","6478.0","","","","","7069.0","","","","","7222.0","","","","","7409.0","","","","","300321.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_(1万分比)","","","","","","96.0","","","","","88.0","","","","","91.0","","","","","89.0","","","","","88.0","","","","","85.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯人員 ","人","","","","","3.81","","","","","3.68","","","","","3.72","","","","","3.44","","","","","3.29","","","","","3.01",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯人員 _18歳未満人員","人","","","","","－","","","","","－","","","","","1.08","","","","","0.82","","","","","0.77","","","","","0.6",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯人員 _65歳以上人員 ","人","","","","","－","","","","","－","","","","","0.45","","","","","0.52","","","","","0.56","","","","","0.6",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯人員 _66歳以上人員_うち無職者人員 ","人","","","","","－","","","","","－","","","","","0.32","","","","","0.37","","","","","0.44","","","","","0.44",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_有業人員","人","","","","","1.62","","","","","1.64","","","","","1.61","","","","","1.57","","","","","1.42","","","","","1.44",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯主の年齢","歳","","","","","47.5","","","","","49.7","","","","","48.9","","","","","51.8","","","","","53.4","","","","","55.2",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯主の性別　男","人","","","","","－","","","","","－","","","","","0.935","","","","","0.945","","","","","0.935","","","","","0.918",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_世帯主の性別　女   ","人","","","","","－","","","","","－","","","","","0.065","","","","","0.055","","","","","0.065","","","","","0.082",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_持ち家率（現住居）","％","","","","","82.6","","","","","83.8","","","","","85.1","","","","","85.0","","","","","88.6","","","","","88.4",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_持ち家率（現住居）_うち住宅ローン保有率","％","","","","","－","","","","","－","","","","","32.1","","","","","31.9","","","","","29.4","","","","","25.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_家賃・地代を支払っている世帯の割合","％","","","","","17.0","","","","","－","","","","","16.9","","","","","17.1","","","","","12.9","","","","","12.8",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_現住居の延べ床面積","㎡","","","","","－","","","","","－","","","","","133.7","","","","","125.5","","","","","132.5","","","","","128.5",""
